Symbol
NVDA
AAPL
MSFT
GOOGL
AMZN
META
TSM
BRK-A
TSLA
AVGO
LLY
WMT
JPM
V
UNH
XOM
ORCL
MA
COST
HD
PG
JNJ
NVO
ABBV
BAC
NFLX
CRM
CVX
SAP
KO
TMUS
ASML
MRK
AMD
ACN
BABA
TM
WFC
CSCO
PEP
LIN
ADBE
NVS
BX
TMO
MCD
NOW
MS
AXP
AZN
